,spec_accuracy,reac_accuracy,iter_num,species_match_score,reaction_match_score,num_species,num_eval_species,num_reactions,num_eval_reactions,total_match_score
BIOMD0000000691.xml,0.0,0.0,2,0.7684210526315789,0.47354497354497355,19,12,18,6,8.523809523809524
BIOMD0000000094.xml,0.0,0.0,2,0.4872890667954844,0.7020634920634921,34,2,45,2,31.59285714285714
BIOMD0000000171.xml,0.0,0.0,2,0.6133152173913045,0.49313186813186805,12,2,26,4,12.82142857142857
BIOMD0000000248.xml,0.2857142857142857,0.0,2,0.7851851851851852,0.8833333333333332,9,7,5,1,4.416666666666666
BIOMD0000000088.xml,0.29411764705882354,0.0,2,0.48480863635068505,0.7518614718614719,105,17,110,18,82.70476190476191
BIOMD0000000108.xml,0.6,0.0,1,0.7041245791245792,0.6490196078431372,9,5,17,1,11.033333333333331
BIOMD0000000137.xml,0.6666666666666666,0.0,1,0.5118779219982187,0.2816666666666667,21,3,20,1,5.633333333333334
BIOMD0000000038.xml,0.75,0.0,2,0.6836134453781512,0.6814285714285714,17,4,10,2,6.814285714285714
BIOMD0000000143.xml,0.875,0.0,1,0.9165062388591799,0.7458333333333333,20,16,20,3,14.916666666666666
BIOMD0000000292.xml,1.0,0.0,1,0.7361111111111112,0.8541666666666666,6,4,4,1,3.4166666666666665
BIOMD0000000123.xml,1.0,0.0,1,0.4945591158228216,0.5735294117647058,14,2,17,1,9.75
BIOMD0000000122.xml,1.0,0.0,1,0.4945591158228216,0.5735294117647058,14,2,17,1,9.75
